timestamp,run_id,dataset,strategy,modality_mode,embedding_model,num_questions,pass_rate,avg_contextual_precision,avg_contextual_recall,avg_contextual_relevancy,avg_answer_relevancy,avg_faithfulness,avg_top_k_hit,avg_retrieved_context_count,text_category_pass_rate,figure_category_pass_rate
2026-05-18T18:59:47.905519+00:00,20260518T185438Z,openclaw,dense,text_only,text-embedding-3-small,10,0.4,1.0,0.9333333333333333,0.6850178161847991,0.8890509828009827,0.9732142857142858,1.0,4.0,,
2026-05-18T19:39:27.316124+00:00,20260518T193506Z,openclaw,hybrid,text_only,text-embedding-3-small,10,0.6,1.0,0.9547619047619047,0.7031652053321974,0.8983936651583709,0.9723076923076924,1.0,4.0,,
2026-09-11T10:49:26.954656+00:00,20260911T104545Z,openclaw,dense,text_only,text-embedding-3-small,10,0.6,1.0,0.9857142857142858,0.7146184534419828,0.9634920634920634,0.9179487179487179,1.0,4.0,,
2026-09-11T11:10:02.132793+00:00,20260911T110647Z,openclaw,hybrid,text_only,text-embedding-3-small,10,0.3,0.9833333333333334,0.984,0.6050833705480637,0.9780701754385965,0.9002912876597087,1.0,4.0,,
2026-09-11T11:36:20.839617+00:00,20260911T113312Z,openclaw,hybrid,text_only,text-embedding-3-small,10,0.9,0.9833333333333334,0.9800000000000001,0.6292506154680128,0.9857142857142858,0.977842584402182,1.0,4.0,,
2026-09-11T11:43:09.869342+00:00,20260911T114001Z,openclaw,dense,text_only,text-embedding-3-small,10,0.9,1.0,0.8904761904761905,0.6277038205311449,0.962647209421403,0.9407293686705451,1.0,4.0,,
2026-09-11T12:02:31.955837+00:00,20260911T115941Z,openclaw,dense,text_only,text-embedding-3-small,10,1.0,0.9833333333333334,1.0,0.6652661477647411,1.0,0.99,1.0,4.0,,
